id	question	category
1	how did serfdom develop in and then leave russia ?	unknown
2	what films featured the character popeye doyle ?	what
3	how can i find a list of celebrities ' real names ?	unknown
4	what fowl grabs the spotlight after the chinese year of the monkey ?	what
5	what is the full form of .com ?	what
6	what contemptible scoundrel stole the cork from my lunch ?	what
7	what team did baseball 's st. louis browns become ?	what
8	what is the oldest profession ?	what
9	what are liver enzymes ?	what
10	name the scar-faced bounty hunter of the old west .	unknown
11	when was ozzy osbourne born ?	when
12	why do heavier objects travel downhill faster ?	unknown
13	who was the pride of the yankees ?	who
14	who killed gandhi ?	who
15	what is considered the costliest disaster the insurance industry has ever faced ?	what
16	what sprawling u.s. state boasts the most airports ?	what
17	what did the only repealed amendment to the u.s. constitution deal with ?	what
18	how many jews were executed in concentration camps during wwii ?	unknown
19	what is `` nine inch nails '' ?	what
20	what is an annotated bibliography ?	what
21	what is the date of boxing day ?	what
22	what articles of clothing are tokens in monopoly ?	what
23	name 11 famous martyrs .	unknown
24	what 's the olympic motto ?	what
25	what is the origin of the name ` scarlett ' ?	what
26	what 's the second-most-used vowel in english ?	what
27	who was the inventor of silly putty ?	who
28	what is the highest waterfall in the united states ?	what
29	name a golf course in myrtle beach .	unknown
30	which two states enclose chesapeake bay ?	unknown
31	what does the abbreviation aids stand for ?	what
32	what does a spermologer collect ?	what
33	how many points make up a perfect fivepin bowling score ?	unknown
34	which company that manufactures video-game hardware sells the `` super system '' ?	unknown
35	how many community chest cards are there in monopoly ?	unknown
36	what do mormons believe ?	what
37	when did the neanderthal man live ?	when
38	in what religion was isis the nature goddess ?	what
39	where do the adventures of `` the swiss family robinson '' take place ?	unknown
40	what relative of the racoon is sometimes known as the cat-bear ?	what
41	how can i register my website in yahoo for free ?	unknown
42	what was cash-conscious colonel edwin l. drake the first to drill ?	what
43	how many people in the world speak french ?	unknown
44	how many inches over six feet is the venus de milo ?	unknown
45	how do they find or choose witnesses to an execution ?	unknown
46	what 1920s cowboy star rode tony the wonder horse ?	what
47	what cocktail inspired john doxat to write the book stirred-not shaken ?	what
48	what isps exist in the caribbean ?	what
49	how do you ask a total stranger out on a date ?	unknown
50	what weapon is the mythological character apollo most proficient with ?	what
51	what country do the galapagos islands belong to ?	what
52	what is ethology ?	what
53	who was the prophet of the muslim people ?	who
54	where did the term `` 86ed '' come from ?	unknown
55	who is snoopy 's arch-enemy ?	who
56	what is the nature of learning ?	what
57	what 's the only color johnny cash wears on stage ?	what
58	what 's the term for a young fox ?	what
59	what u.s. state lived under six flags ?	what
60	what is the kashmir issue ?	what
61	where is the loop ?	unknown
62	what does `` extended definition '' mean and how would one write a paper on it ?	what
63	what country 's capital is tirana ?	what
64	what is titanium ?	what
65	who do herb and tootsie live next door to ?	who
66	which city has the oldest relationship as a sister�city with los angeles ?	unknown
67	what is a caldera ?	what
